Arthur C Danto,unnatural wonders 
Camille Paglia,break  blow  burn 
Jaroslav Pelikan,whose bible is it? 
Geraldine Brooks,march 
Chelsea Cain,confessions of a teen sleuth: a parody 
Francine Prose,changed man  a 
Judith Moore,fat girl: a true story 
Edgardo Cozarinsky,distant star 
Robert Sullivan,cross country: fifteen years and ninety thousand miles on the roads and 
George Plimpton,man in the flying lawn chair  the 
Ishmael Reed,new and collected poems  1964-2006 
George Tombs,lord black: the biography 
Jill Lepore,new york burning: liberty  slavery  and conspiracy in eighteenth-century manhattan 
Katha Pollitt,virginity or death! and other social and political issues of our time 
Louis Uchitelle,disposable american  the: layoffs and their consequences 
Helen Reddy,woman i am  the: a memoir 
Will Blythe,to hate like this is to be happy forever 
Colson Whitehead,apex hides the hurt 
Thomas Hackett,slaphappy: pride  prejudice  and professional wrestling 
Charles McCarry,last supper  the 
Cynthia Ozick,din in the head  the: essays 
David Rakoff,don't get too comfortable 
Adam Phillips,going sane: maps of happiness 
Eric Konigsberg,blood relation 
Rick Moody,diviners  the 
"Tariq ""K-Flex"" Nasheed's Art",lads: a memoir of manhood 
Alexander Masters,stuart: a life backwards 
Douglas Coupland,eleanor rigby 
Seth Lloyd,programming the universe: a quantum computer scientist takes on the cosmos 
Per Olov Enquist,book about blanche and marie  the 
Carl Safina,voyage of the turtle: in pursuit of the earth's last dinosaur 
Joseph E Stiglitz,fair trade for all: how trade can promote development 
Robert Wuthnow,america and the challenges of religious diversity 
Bob Cowser Jr,dream season 
Larry Mcmurtry,loop group 
Lucy Ellmann,doctors & nurses 
Geoffrey Hosking,rulers and victims: the russians in the soviet union 
Christopher Marlowe,world of christopher marlowe  the 
Richard A Posner,catastrophe: risks and response 
John H Richardson,my father the spy: an investigative memoir 
Thomas Eakins,revenge of thomas eakins  the 
Upton Sinclair,radical innocent: upton sinclair 
James Carroll,house of war: the pentagon and the disastrous rise of american power 
John Cornwell,seminary boy 
Andrea Lee,lost hearts in italy 
George Saunders,brief and frightening reign of phil  the 
Peter Robinson,piece of my heart 
Mark Twain,mark twain: a life 
Andrea Levy,small island 
Richard Davis,electing justice: fixing the supreme court nomination process 
Buster Olney,last night of the yankee dynasty  the 
Paul Robeson John Gielgud,essential shakespeare handbook 
Philip Roth,plot against america  the 
Clyde V Jr Prestowitz,three billion new capitalists 
Jan,splendor in the short grass: the grover lewis reader 
Ben Karlin Jon Stewart,america  the book): a citizenåÕs guide to democracy inaction 
"""The Really Terrible Orchestr",sunday philosophy club  the 
Luis Alberto Urrea,hummingbird's daughter  the 
Elizabeth Hickey,breath and bones 
Stephen Amidon,human capital 
Jay Feldman,when the mississippi ran backwards: empire  intrigue  murder  and the new madrid earthquakes 
Toni Bentley,surrender  the: an erotic memoir 
Stacy Schiff,great improvisation  a: franklin  france  and the birth of america 
Andrew Vachss,two trains running 
Christine Schutt,day  a night  another day  summer  a 
William T Vollmann,europe central 
John Kelly,great mortality  the: an intimate history of the black death  the most devastating plague of all time 
John M,confederate battle flag  the: america's most embattled emblem 
Lynn Freed,curse of the appropriate man  the 
David Plotz,genius factory  the: the curious history of the nobel prize sperm bank 
Joseph Lelyveld,omaha blues: a memory loop 
Amy Fine Collins,god of driving  the 
Ramez Naam,radical evolution: the promise and peril of enhancing our minds  our bodies -- and what it means to be human 
Alan Wolfe,return to greatness: how america lost its sense of purpose and what it needs to do to recover it 
Irina Denezhkina,give me:  songs for lovers) 
Gish Jen,love wife  the 
Jonathan Lethem,disappointment artist  the 
Stephen Greenblatt,will in the world: how shakespeare became shakespeare 
David Owen,copies in seconds: how a lone inventor and an unknown company created the biggest communication breakthrough since gutenberg åÑ chester carlson and the birth of the xerox machine 
Jonathan Safran Foer,extremely loud and incredibly close 
John Barlow,intoxicated: a novel of money  madness  and the invention of the world's favorite soft drink 
Joe Drape,black maestro: the epic life of an american legend 
Tom Lutz,doing nothing: a history of loafers  loungers  slackers  and bums in america 
Kaui Hart Hemmings,house of thieves 
Patrick Mcgrath,ghost town: tales of manhattan then and now 
Scott Anderson,moonlight hotel 
Hilary Spurling,matisse the master. a life of henri matisse: the conquest of colour  1909-1954 
Phillip Lopate,american movie critics: an anthology from the silents until now 
Stephen M,taming american power: the global response to u.s. primacy 
Adam Nicolson,seize the fire: heroism  duty  and the battle of trafalgar 
Plum Sykes,debutante divorcÌ©e  the 
Henry Shukman,mortimer of the maghreb: stories 
Michael Kimmelman,accidental masterpiece  the: on the art of life and vice versa 
Nathaniel Philbrick,mayflower: a story of courage  community  and war 
Simon Schama,rough crossings: britain  the slaves and the american revolution 
the bombing of Dresden,edmund wilson: a life in literature 
Martha McPhee,l'america 
Glyn Maxwell,sugar mile  the 
Howard M Sachar,history of the jews in the modern world  a 
Paul Murray,an evening of long goodbyes 
Sam Harris,end of faith  the: religion  terror  and the future of reason 
Jonathan Eig,luckiest man: the life and death of lou gehrig 
Sandra Day O'Connor,sandra day o'connor 
Meredith Daneman,margot fonteyn 
Patricia Fortini Brown,private lives in renaissance venice 
Kate Atkinson,case histories 
James Solheim,how santa really works 
Stephen Mitchell,gilgamesh 
Henry Kisor,pursuit 
The Drago,dragon man  the 
Margot Livesey,banishing verona 
Sebastian Mallaby,world's banker  the 
Arthur M Jr Schlesinger,war and the american presidency 
Lan Samantha Chang,inheritance 
Kathryn Davis,thin place  the 
Timothy K,roadside religion: in search of the sacred  the strange  and the substance of faith 
America,twilight of atheism 
Charles Nicholl,leonardo da vinci: flights of the mind 
Geno Auriemma,geno: in pursuit of perfection 
Lorraine Adams,harbor 
Allegra Goodman,intuition 
Philip Pullman,aladdin and the enchanted lamp 
Yann Martel,facts behind the helsinki roccamatios  the 
Jeff Faux,global capitalism 
Kevin Starr,coast of dreams 
Graham Allison,nuclear terrorism: the ultimate preventable catastrophe 
Patrick Collinson,reformation  the: a history 
Paul Theroux,blinding light 
Cynthia Ozick,heir to the glimmering world 
Michael Kazin,godly hero  a: the life of william jennings bryan 
Ken Foskett,judging thomas: the life and times of clarence thomas 
Sandor Marai,casanova in bolzano 
Susanna Clarke,jonathan strange & mr. norrell 
Sigrid Nunez,last of her kind  the 
Pearl S Buck,good earth  the 
Ali Smith,accidental  the 
Ken Auletta,media man 
Peter Beard,zara's tales 
James M Jr Ault,spirit and flesh 
Michael Holley,johnny unitas: america's quarterback 
Annie Proulx,bad dirt: wyoming stories 2 
Mark Kurlansky,big oyster  the: history on the half shell 
Judith Rich Harris,no two alike: human nature and human individuality 
Adrienne Miller,coast of akron  the 
Gail Godwin,queen of the underworld 
Melissa Bank,wonder spot  the 
John Mortimer,where there's a will 
Benson Bobrick,fated  sky  the: astrology in history 
Paul Hond,mothers and sons 
Mark Winegardner,godfather returns  the 
Michael Mandelbaum,case for goliath  the 
Charles A Riley Ii,jazz age in france  the 
Nick Middleton,extremes: surviving the world's harshest environments 
Seamus Heaney,burial at thebes  the 
Meg Wolitzer,good women: three novellas 
Alix Ohlin,babylon: and other stories 
Neil Armstrong,first man: the life of neil a. armstrong 
Jerome Karabel,chosen  the: the hidden history of admission and exclusion at harvard  yale  and princeton 
Sarah Hall,electric michelangelo  the 
Eliot L Spitzer,Spoiling for a Fight: The Rise of Eliot Spitzer 
Juliet Winters Carpenter,shadow family 
Nick Salvatore,singing in a strange land: c. l. franklin  the black church  and the transformation of america 
Tom Wolfe,i am charlotte simmons 
David Anthony Durham,sea of tears  the 
Hassan Abbas,pakistan's drift into extremism 
Pankaj Mishra,end to suffering  an: the buddha in the world 
Pamela Gien,syringa tree  the 
Carol Shields,collected stories 
Rob Ryder,Hollywood Jock: 365 Days  Four Screenplays  Three TV Pitches  Two Kids  and One Wife Who‰Ûªs Ready to Pull the Plug 
Scott Turow,ordinary heroes 
Jim Wallis,god's politics 
Newt Gingrich,winning the future: a 21st century contract with america 
John Ashbery,where shall i wander: new poems 
Nani Power,sea of tears  the 
Christine Todd Whitman,it's my party too 
Vikram Seth,two lives 
Glen Duncan,death of an ordinary man 
Mireille Guiliano,french women don't get fat 
Akhil Reed Amar,america's constitution: a biography 
Terri Schiavo,using terri: the religious right's conspiracy to take away our rights 
Alberto Fuguet,shorts: stories 
Christopher Hitchens,love  poverty  and war: journeys and essays 
Alessandro Baricco,Iliad  An 
Sherill Tippins,february house 
Jennifer Jordan,savage summit 
Dai Sijie,mr. muo's travelling couch 
Veronica Buckley,christina  queen of sweden 
Etgar Keret,
MacKenzie Bezos,testing of luther albright  the 
Jill Nelson,finding martha's vineyard: african americans at home on an island 
Esmeralda Santiago,turkish lover  the 
Roger Angell,let me finish 
Thomas Jefferson,first emancipator  the: the forgotten story of robert carter  the founding father who freed his slaves 
Lake Sorrows Archer Mayor,lake of sorrows 
An Unfinishe Chris Bohjalian,before you know kindness 
Matthew Brzezinski,fortress america 
Verlyn Klinkenborg,timothy: or  notes of an abject reptile 
Philip Roth,everyman 
Alex Berenson,faithful spy  the 
Robert M Jr Parker,emperor of wine  the: the rise of robert m. parker  jr. and the reign of american taste 
Geoffrey R Stone,perilous times 
Gordon G Chang,nuclear showdown: north korea takes on the world 
Nancy Lieberman,admissions 
Kelly Link,magic for beginners 
Ted Kooser,flying at night: poems 1965-1985 
Marsden Hartley,marsden hartley: race  region  and nation 
Geoffrey C Ward,unforgivable blackness: the rise and fall of jack johnson 
Joseph J,his excellency: george washington 
Jonathan Lethem,men and cartoons: stories 
Anthony Doerr,about grace 
Ada Louise Huxtable,frank lloyd wright 
Clare Sambrook,hide & seek 
Michael Maccambridge,america's game 
Amir D Aczel,chance 
Gigi Levangie Grazer,starter wife  the 
Daniel Gilbert,stumbling on happiness 
Michael Connelly,crime beat: a decade of covering cops and killers 
Jim Harrison,summer he didn't die  the 
Melissa Panarello,one hundred strokes of the brush before bed 
Richard Stern,almonds to zhoof: collected stories 
Jon Meacham,faiths of the founding fathers  the 
Fabre,contract  the: mussolini  publisher of hitler 
Zakes Mda,whale caller  the 
Roxana Robinson,perfect stranger  a: and other stories 
Elmore Leonard,hot kid  the 
Victoria Newhouse,art and the power of placement 
Justin Cartwright,promise of happiness  the 
Lyndon Baines Johnson,presidential recordings  the: lyndon b. johnson. the kennedy assassination and the transfer of power  november 1963-january 1964 
Judith Fl,circle of sisters  a: alice kipling  georgiana burne-jones  agnes poynter and louisa baldwin 
Stewart O'nan,good wife  the 
Sarah Vowell,assassination vacation 
Victoria De Grazia,irresistible empire: america's advance through twentieth-century europe 
Rick Bass,diezmo  the 
Linda Greenhouse,becoming justice blackmun: harry blackmun's supreme court journey 
Mark Mazower,salonica  city of ghosts: christians  muslims and jews  1430-1950 
Paul Auster,brooklyn follies  the 
Nuala O'Faolain,story of chicago may  the 
Dana Goodyear,honey and junk 
Nell Irvin Painter,creating black americans 
James Crumley,right madness  the 
Durs GrÌ_nbein,ashes for breakfast: selected poems 
John Simon,JOHN SIMON ON THEATER: CRITICISM  1974-2003 
Elliot Perlman,reasons i won't be coming  the: stories 
Gordon Parks,hungry heart  a: a memoir 
Richard P Feynman,perfectly reasonable deviations from the beaten track: the letters of richard p. feynman 
Charles C Mann,1491: new revelations of the americas before columbus 
Cole Porter,'Cole Porter: Selected Lyrics' 
Lynn Freed,reading  writing  and leaving home: life on the page 
Simon Winchester,crack in the edge of the world  a: america and the great california earthquake of 1906 
Tony Hendra,messiah of morris avenue  the 
Marti Leimbach,daniel isn't talking 
Emily Barton,brookland 
Adam Hochschild,bury the chains 
Joyce Carol Oates,missing mom 
Wendy Lesser,pagoda in the garden  the: a novel in three parts 
Catherine Merridale,ivan's war: life and death in the red army  1939-1945 
Graham Lord,niv: the authorized biography of david niven 
Martin Booth,golden boy: memories of a hong kong childhood 
Gregory Maguire,son of a witch 
Mindy Thompson Fullilove,street wars: gangs and the future of violence 
Stephen Harrigan,challenger park 
Michael Grunwald,swamp  the 
Wayne Coffey,boys of winter  the: the untold story of a coach  a dream  and the 1980 u.s. olympic hockey team 
Andrew Feld,underwater city 
Edmund White,my lives 
Eric R Kandel,in search of memory: the emergence of a new science of mind 
Brian Cathcart,fly in the cathedral  the 
Jose Saramago,seeing 
Elinor Lipman,my latest grievance 
Rattawut Lapcharoensap,sightseeing: stories 
Bill Barich,fine place to daydream  a 
Andrew Smith,100 sideways miles 
Ben Lerner,10:04
Ridley Pearson,cut and run 
Elizabeth Kostova,historian  the 
Jose Saramago,double  the 
Kathryn Shevelow,charlotte: being a true account of an actress's flamboyant adventures in eighteenth-century london's wild and wicked theatrical world 
Mark Helprin,freddy and fredericka 
Smith,no place to hide 
Fred Siegel,prince of the city  the: giuliani  new york and the genius of american life 
Scott Eyman,lion of hollywood: the life and legend of louis b. mayer 
Harold Bloom,where shall wisdom be found? 
Margaret Drabble,red queen  the 
Joseph Kanon,alibi 
Mark Oppenheimer,thirteen and a day: the bar and bat mitzvah across america 
Edward Lewine,death and the sun: a matador's season in the heart of spain 
Elizabeth Royte,garbage land: on the secret trail of trash 
David L,squandered victory: the american occupation and the bungled effort to bring democracy to iraq 
Alicia Erian,towelhead 
David Lodge,author  author 
Eric Alterman,when presidents lie 
Olivier Todd,malraux: a life 
Ruth Reichl,garlic and sapphires: the secret life of a critic in disguise 
Lucia Perillo,luck is luck: poems 
Douglas Brinkley,windblown world: the journals of jack kerouac  1947-1954 
David Block,baseball before we knew it: a search for the roots of the game. 
Augusten Burroughs,magical thinking: true stories 
Richard K Morgan,market forces 
Richard A,blind spot: the secret history of american counterterrorism 
Pat Choate,hot property: the stealing of ideas in an age of globalization 
John Wray,canaan's tongue 
Change Ba Shannon Burke,all these girls 
Giles Foden,mimi and toutou's big adventure: the bizarre battle of lake tanganyika 
Lance Morrow,best year of their lives  the. kennedy  johnson  and nixon in 1948: learning the secrets of power 
Swift Boat Veterans T,unfit for command: swift boat veterans speak out against john kerry 
Christopher Buckley,florence of arabia 
Salvador Plascencia,music of the mill 
David G Campbell,land of ghosts  a: the braided lives of people and the forest in far western amazonia 
Peter C Whybrow,american mania: when more is not enough 
Annie Murphy Paul,cult of personality  the: how personality tests are leading us to miseducate our children  mismanage our companies  and misunderstand ourselves 
Nora Roberts,northern lights 
William Henry Lewis,i got somebody in staunton: stories 
Daniel Fuchs,golden west  the: hollywood stories 
Emmanuel Dongala,johnny mad dog 
Edward Dolnick,rescue artist  the: a true story of art  thieves  and the hunt for a missing masterpiece 
Kitty Kelley,family  the: the real story of the bush dynasty 
Hillel Halkin,strange death  a 
Stephen King,11/22/63 
Julia Glass,whole world over  the 
James Campbell,Middle Passages 
Jacob S Hacker,off center: the republican revolution and the erosion of american democracy 
Will Self,junk mail 
William F Jr Buckley,living it up with national review: a memoir 
Howell Raines,one that got away  the 
Kathryn Harrison,Girls Who Went Away  The 
Dan Hofstadter,falling palace: a romance of naples 
Nick Mcdonell,third brother  the 
Christopher Rowe,nebula awards showcase 2006 
Neil Strauss,game  the: penetrating the secret society of pickup artists 
Ed Sullivan,impresario: the life and times of ed sullivan 
Peter Beinart,good fight  the 
Louise Erdrich,painted drum  the 
Michel Houellebecq,possibility of an island  the 
David Owen,sheetrock & shellac 
Lynne Truss,talk to the hand: the utter bloody rudeness of the world today  or six good reasons to stay home and bolt the door 
Frederick Reuss,mohr 
Bobbie Ann Mason,atomic romance  an 
Kenneth Koch,collected poems of kenneth koch  the 
Paul Clemens,made in detroit: a south of 8-mile memoir 
John Gimlette,theatre of fish: travels through newfoundland and labrador 
Tim Parks,rapids 
Pamela Paul,pornified: how pornography is transforming our lives  our relationships  and our families 
Richard Davenport-Hines,proust at the majestic 
Bruce Feiler,where god was born: a journey by land to the roots of religion 
Dennis Cooper,god jr. 
Bette Davis,girl who walked home alone  the 
Harvey Shapiro,sights along the harbor  the: new and collected poems 
Jonathan B Tucker,war of nerves 
Javier Marias,written lives 
Arthur Phillips,egyptologist  the 
Paul Beatty,sellout  the 
Olympia Vernon,killing in this town  a 
John B,folly of empire  the 
Running E Joe Scarborough,rome wasn't burnt in a day 
Nancy Reisman,first desire  the 
Alan Burdick,out of eden: an odyssey of ecological invasion 
John F,survivor  the: bill clinton in the white house 
Kristin Gore,sammy's hill 
Cornel West,democracy matters: winning the fight against imperialism 
Orhan Pamuk,istanbul: memories and the city 
Ilan Stavans,collected stories 
Kermit Roosevelt,in the shadow of the law 
The Send-Away G Gary Gildner,little criminals 
Osama Bin Laden,messages to the world: the statements of osama bin laden 
Kwame Anthony Appiah,ethics of identity  the 
John Wranovics,chaplin and agee: the untold story of the tramp  the writer  and the lost screenplay 
Art Spiegelman,in the shadow of no towers 
Paul Goldberger,up from zero: politics  architecture  and the rebuilding of new york 
Marjane Satrapi,almond  the 
Danielle Trussoni,falling through the earth: a memoir 
Nick Hornby,long way down  a 
Darrin M McMahon,happiness: a history 
Carlos Fuentes,this i believe: an a to z of a life 
Jackie Collins,lovers and players 
Robin Preiss Glasser,bora-bora dress  the 
Johnette Howard,rivals  the. chris evert vs. martina navratilova: their epic duels and extraordinary friendship 
Sarah Dunant,in the company of the courtesan 
Caryn James,what caroline knew 
Patrick J,where the right went wrong 
Rod Dreher,crunchy cons 
Richard Fortey,earth: an intimate history 
Amos Oz,tale of love and darkness  a 
Umberto Eco,mysterious flame of queen loana  the: an illustrated novel 
Deborah Eisenberg,twilight of the superheroes 
Kenneth M,persian puzzle  the: the conflict between iran and america 
Garry Wills,what jesus meant 
Robert Wilson,explorer king  the: adventure  science  and the great diamond hoax - clarence king in the old west 
Thomas Lynch,booking passage: we irish and americans 
Stephanie Coontz,marriage  a history: from obedience to intimacy  or how love conquered marriage 
Judith Martin,miss manners' guide to excruciatingly correct behavior: freshly updated 
Wilt Chamberlain,wilt  1962: the night of 100 points and the dawn of a new era 
Teresa Riordan,inventing beauty 
Timothy Garton Ash,free world 
John Bayley,power of delight  the. a lifetime in literature: essays 1962-2002 
Joan Reardon,poet of the appetites: the lives and loves of m. f. k. fisher 
James Frey,million little pieces  a 
Saul Steinberg,steinberg at the new yorker 
Curtis Sittenfeld,prep 
Peter Steinhart,undressed art  the: why we draw 
Polly Shulman,enthusiasm 
Karenna Gore Schiff,lighting the way: nine women who changed modern america 
Kevin Boyle,arc of justice 
James Salter,last night 
Richard Michelson,happy feet: the savoy ballroom lindy hoppers and me 
Ismail Kadare,successor  the 
Dava Sobel,planets  the 
Winston Leonard Spencer Churchill,in command of history: churchill fighting and writing the second world war 
Melanie Kroupa,i could do that! esther morris gets women the vote 
Louise Jarvis,land gone lonesome  a 
Christopher De Bellaigue,in the rose garden of the martyrs: a memoir of iran 
Barbara Boxer,time to run  a 
Steve Fraser,every man a speculator: a history of wall street in american life 
Maureen Dowd,are men necessary? when sexes collide 
Kathryn Harrison,unsayable  the 
Margriet De Moor,kreutzer sonata  the 
Alan Lightman,sense of the mysterious  a: science and the human spirit 
William Nicholson,society of others  the 
Paul Lettow,ronald reagan and his quest to abolish nuclear weapons 
Elizabeth Mckenzie,stop that girl: a novel in stories 
Thomas Kelly,empire rising 
Alice Provensen,klondike gold 
Constant J,lost letters of heloise and abelard  the 
George Shannon,problem with chickens  the 
Dean C Bakopoulos,please don't come back from the moon 
John Smith,land as god made it  a: jamestown and the birth of america 
Michael Medved,right turns: unconventional lessons from a controversial life 
Louise Welsh,tamburlaine must die 
Peter Lamont,rise of the indian rope trick  the 
Peter Alson,atlas. from the streets to the ring 
Joy Hakim,science verse 
Michael Korda,ulysses s grant 
George Saunders,in persuasion nation: stories 
David Brion Davis,inhuman bondage: the rise and fall of slavery in the new world 
Richard Lingeman,double lives: american writers' friendships 
Kelly DiPucchio,america the beautiful 
Alice Munro,runaway 
Jonathan Stroud,abarat: days of magic  nights of war 
Marshall Berman,on the town: one hundred years of spectacle in times square 
Dylan Thomas,child's christmas in wales  a 
Elizabeth Frank,cheat and charmer 
Julian Rubinstein,ballad of the whiskey robber 
Christopher Wormell,teeth  tails and tentacles: an animal counting book 
Michela Wrong,i didn't do it for you: how the world betrayed a small african nation 
Karen Katz,mommy hugs 
David Remnick,reporting: writings from the new yorker 
Franz Wright,god's silence: poems 
Kate DiCamillo,miraculous journey of edward tulane  the 
Lois Lowry,gossamer 
Ph,woman in berlin  a. eight weeks in the conquered city: a diary 
Brett Helquist,wright 3  the 
Martin Cruz Smith,wolves eat dogs 
Marisa Silver,no direction home 
Reynolds Price,good priest's son  the 
Paul Schneider,brutal journey: the epic story of the first crossing of north america 
Bynum Madeleine Is Sleeping,florida 
Edie Meidav,crawl space 
Peter Sis,train of states  the 
Walt Whitman,when i heard the learn'd astronomer 
James Madison,perfect union  a: dolley madison and the creation of the american nation 
Brian Dolan,wedgwood: the first tycoon 
Barry Miles,zappa 
Bill Carter,desperate networks 
Eudora Welty,eudora welty: a biography 
Madison Smartt Bell,stone that the builder refused  the 
Roddy Doyle,oh  play that thing: volume two of 'the last roundup' 
John Lithgow,carnival of the animals 
Marilyn Nelson,dream of freedom  a 
Jan Adkins,roger the jolly pirate 
George Zebrowski,boy who would live forever  the 
Samantha Power,problem from hell  a: america and the age of genocide 
Anthony Browne,into the forest 
Michael Chabon,final solution  the: a story of detection 
Lyra Edmonds,african princess 
Curtis Cate,friedrich nietzsche 
Virginia Hamilton,people could fly  the: the picture book 
Christopher Paul Curtis,bucking the sarge 
Andrew Kohut,friendly fire: losing friends and making enemies in the anti-american century 
Amartya Sen,identity and violence: the illusion of destiny 
Lauren Thompson,polar bear night 
Alyssa Satin Capucilli,cool cat  hot dog 
Isabel Allende,zorro 
God,universal father: a life of pope john paul ii 
Michael D'Antonio,hershey 
Mitch Cullin,slight trick of the mind  a 
Christopher Paul Curtis,mr chickee's funny money 
Hilary Mantel,beyond black 
Gregory Rabassa,if this be treason: translation and its dyscontents. a memoir 
Hans Christian Andersen,pea blossom  the 
HÌ©ctor Tobar,translation nation: defining a new american identity in the spanish-speaking united states 
Harry Mathews,my life in cia: a chronicle of 1973 
Jonathan Nashel,edward lansdale's cold war 
Lisa Fugard,skinner's drift 
Jane Alison,natives and exotics 
Chicago --,freakonomics: a rogue economist explores the hidden side of everything 
Anita Brookner,leaving home 
Joseph Smith,joseph smith: rough stone rolling 
Arthur Hays Sulzberger,buried by the times: the holocaust and americaåÕs most important newspaper 
Shel Silverstein,
David Grossman,her body knows: two novellas 
Andrew McGahan,white earth  the 
Julian Barnes,arthur and george 
Mirta Ojito,finding maÌ±ana: a memoir of a cuban exodus 
Melissa Holbrook Pierson,place you love is gone  the: progress hits home 
Jane Addams,citizen: jane addams and the struggle for democracy 
Kenneth C,mummy math: an adventure in geometry 
Richard John Neuhaus,catholic matters: confusion  controversy  and the splendor of truth 
Katharine Noel,halfway house 
Theodore Roosevelt,river of doubt  the: theodore roosevelt's darkest journey 
Alison Weir,queen isabella: treachery  adultery  and murder in medieval england 
David Plante,american ghosts 
Rachel Cusk,in the fold 
Josef Joffe,'Ì_berpower: the imperial temptation of america ' by  
Malcolm Gladwell,blink: the power of thinking without thinking 
Sebastian Junger,death in belmont  a 
Stanley Crouch,artificial white man  the: essays on authenticity 
Geoffrey Nunberg,Talking Right: How Conservatives Turned Liberalism Into a Tax-Raising  Latte-Drinking  Sushi-Eating  Volvo-Driving  New York Times-Reading  Body-Piercing  Hollywood-Loving  Left-Wing Freak Show 
Holly Morris,adventure divas: searching the globe for a new kind of heroine 
William Boyd,fascination: stories 
Alan Zweibel,other shulman  the 
Tony Judt,postwar: a history of europe since 1945 
Walter Kirn,mission to america 
Alice Mattison,in case we're separated: connected stories 
Ann Finkbeiner,jasons  the: the secret history of science's postwar elite 
Edmundo Paz Soldn,turing's delirium 
James Lasdun,seven lies 
Seamus Heaney,District and Circle 
Stephen Kinzer,overthrow: america's century of regime change from hawaii to iraq 
Andrew Trees,academy x 
Elliot Perlman,seven types of ambiguity 
Julia Markus,j. anthony froude: the last undiscovered great victorian 
Caitlin Flanagan,to hell with all that: loving and loathing our inner housewife 
James Madison,James Madison and the Struggle for the Bill of Rights 
Edward W Said,on late style: music and literature against the grain 
Curtis Sittenfeld,prep 
Joshua Zeitz,flapper 
Shirin Ebadi,iran awakening: a memoir of revolution and hope 
Joseph Epstein,friendship: an exposÌ© 
Amy Tan,saving fish from drowning 
Ira Berkow,Full Swing: Hits  Runs and Errors in a Writer's Life 
Jed Perl,new art city 
Ingrid D Rowland,scarith of scornello  the: a tale of renaissance forgery 
Lawrence Douglas,catastrophist  the 
Rich Cohen,sweet and low: a family story 
Kevin Phillips,1775
Stephen King,dark tower  the: the dark tower vii 
Yaroslav Trofimov,faith at war: a journey on the frontlines of islam  from baghdad to timbuktu 
Sam Walton,united states of wal-mart  the 
Hanoch Piven,what presidents are made of
Norman Sherry,life of graham greene  the 
Chieh Chieng,long stay in a distant land  a 
William Maxwell,william maxwell: a literary life 
Helen Oyeyemi,icarus girl  the 
David S,john brown  abolitionist: the man who killed slavery  sparked the civil war  and seeded civil rights 
Michael P,listener supported: the culture and history of public radio 
Norman Lewis,koch  stephen 
Larry Beinhart,librarian  the 
John Irving,until i find you 
Peter Straub,h. p. lovecraft: tales 
Seymour M,chain of command: the road from 9/11 to abu ghraib 
Robert D,kenneth grahame's the reluctant dragon 
Kazuo Ishiguro,never let me go 
William F Jr Buckley,miles gone by: a literary autobiography 
FrÌ©dÌ©ric Beigbeder,windows on the world 
David Gilbert,normals  the 
