Annie John,Jamaica Kincaid,Family;!Coming-of-Age;!Women and Femininity;!Death;!Time;!Exploration;!Visions of Antigua;!The Supernatural
Anthem,Ayn Rand,Philosophical Viewpoints;!Freedom and Confinement;!Identity;!Society and Class;!Happiness;!Science;!Love;!Loyalty;!Strength and Skill
Antigone,Sophocles,Fate and Free Will;!Rules and Order;!Determination;!Power;!Women and Femininity;!Mortality
The Tragedy of Antony and Cleopatra,William Shakespeare,Choices;!Contrasting Regions;!Gender;!Betrayal;!Love;!Power;!Transformation;!Guilt and Blame;!Duty
Arcadia,Tom Stoppard,Wisdom and Knowledge;!Literature and Writing;!Science;!Truth;!Sex;!Time;!Fate and Free Will;!Man and the Natural World
Are You There God? It's Me, Margaret.,Judy Blume,Family;!Friendship;!Appearances;!Religion;!Coming of Age;!Contrasting Regions: NYC vs. Farbrook, NJ;!Community
Around the World in Eighty Days,Jules Verne,Respect and Reputation;!Money;!Exploration;!Time;!Happiness;!Chance
Arrow of God,Chinua Achebe,Competition;!Revenge;!Religion;!Tradition and Customs;!Power;!Men and Masculinity;!Respect and Reputation;!Duty;!Race;!Pride
Arrowsmith,Sinclair Lewis,Family;!Jealousy;!Marriage;!Love;!Dissatisfaction;!Religion;!Drugs and Alcohol;!Pride
Artemis Fowl,Eoin Colfer,Greed;!Violence;!Gender;!Race;!Morality (or Moral Ambiguity);!Technology and Modernization;!The Environment;!Family
As I Lay Dying,William Faulkner,Mortality;!Family;!Suffering;!Women and Femininity;!Religion;!Duty;!Versions of Reality;!Poverty
As You Like It,William Shakespeare,Love;!Foolishness and Folly;!Contrasting Regions;!Gender;!Family;!Art and Culture;!Transformation;!Philosophical Viewpoints
The Assistant,Bernard Malamud,Guilt and Blame;!Disappointment;!Fate and Free Will;!Dreams, Hopes, and Plans;!Religion;!Prejudice;!Competition;!Lies and Deceit;!Compassion and Forgiveness;!Family
The Astonishing Life of Octavian Nothing: Traitor to the Nation, Volume I: The Pox Party,M.T. Anderson,Education;!Women and Femininity;!Life, Consciousness, and Existence;!Visions of America;!coming-of-Age;!Family;!Slavery;!Suffering;!Art and Culture;!Warfare
Atlas Shrugged,Ayn Rand,Philosophical Viewpoints: Objectivism;!Choices;!Happiness;!Love;!Sex;!Power;!Language and Communication;!Fear;!Memory and the Past;!Visions of America;!Science
The Autobiography of Benjamin Franklin,Benjamin Franklin,Literature and Writing;!Memory and the Past;!Principles;!Education;!Visions of America;!Ambition;!Wealth;!Religion
The Autobiography of Malcolm X,Malcolm X and Alex Haley,Race;!Prejudice;!Philosophical Viewpoints: Pan-Africanism;!Transformation;!Language and Communication;!Education;!Mortality;!Religion
Autobiography of My Dead Brother,Walter Dean Myers,Men and Masculinity;!Mortality;!Ambition;!Fear;!Violence;!Friendship;!Change;!Criminality
The Awakening,Kate Chopin,Identity;!Women and Femininity;!Marriage;!Love;!Society and Class;!Repression;!Art and Culture;!Family;!Respect and Reputation;!Life, Consciousness, and Existence
The BFG,Roald Dahl,Injustice;!Morality and Ethics;!Appearances;!Language and Communication;!Friendship;!Cunning and Cleverness;!The Supernatural;!Weakness
Babbitt,Harry Sinclair Lewis,Family;!Friendship;!Marriage;!Dissatisfaction;!Drugs and Alcohol;!Men and Masculinity;!Women and Femininity;!Society and Class
Babylon Revisited,F. Scott Fitzgerald,Wealth;!Drugs and Alcohol;!Visions of America;!Transformation;!Memory and the Past
The Bacchae,Euripides,Man and the Natural World;!Rules and Order;!Religion;!Madness;!Transformation;!Violence;!Women and Femininity;!Foreignness and 'the Other'
The Bad Beginning,Lemony Snicket,Courage;!Cunning and Cleverness;!Good Versus Evil;!Greed;!Language and Communication;!Rules and Order;!Sadness;!Youth
The Bald Soprano,Eugene Ionesco,Philosophical Viewpoints: The Absurd;!Language and Communication;!Time;!Memory and the Past;!Versions of Reality;!Society and Class;!Isolation
Ballad of the Sad Cafe and Other Stories,Carson McCullers,Love;!Competition;!Men and Masculinity;!Women and Femininity;!Justice and Judgment;!Community;!Drugs and Alcohol;!Lies and Deceit;!Compassion
Barn Burning,William Faulkner,Courage;!Youth;!Family;!Choices;!Society and Class;!Justice and Judgment
Bartleby the Scrivener,Herman Melville,Choices;!Rules and Order;!Language and Communication;!Isolation;!Morality and Ethics
Bastard Out of Carolina,Dorothy Allison,Family;!Gender;!Appearances;!Coming of Age;!Love;!Society and Class;!Guilt and Blame;!Suffering;!Sex
The Bean Trees,Barbara Kingsolver,Family;!Friendship;!The Home;!Community;!Education;!Injustice;!Women and Femininity;!Visions of America
Beauty Queens,Libba Bray,Friendship;!Isolation;!Foolishness and Folly;!Gender;!Identity;!Race;!Cunning and Cleverness;!Lust
Because of Winn-Dixie,Kate DiCamillo,Abandonment;!Compassion and Forgiveness;!Isolation;!Communication;!Friendship;!Family;!Love;!Courage
Bel Canto,Ann Patchett,Love;!Art and Culture;!Awe and Amazement;!Spirituality;!Language and Communication;!Dreams, Hopes, and Plans;!Exploration;!Community
The Bell Jar,Sylvia Plath,Women and Femininity;!Family;!Sex;!Society and Class;!Madness;!Identity;!Transformation;!Literature and Writing
Belle Prater's Boy,Ruth White,Abandonment;!Compassion and Forgiveness;!Friendship;!Jealousy;!Sadness;!Appearances;!Memory and the Past;!Identity;!Exploration;!Family
Beloved,Toni Morrison,The Home;!Men and Masculinity;!Love;!Slavery;!Family;!Memory and the Past;!The Supernatural;!Community
Benito Cereno,Herman Melville,Slavery;!Lies and Deceit;!Cunning and Cleverness;!Weakness;!The Supernatural;!Power
Beowulf,Unknown,Good vs. Evil;!Identity;!Strength and Skill;!Wealth;!Religion;!Violence;!Courage;!Mortality;!The Supernatural;!Tradition and Customs
Bernice Bobs Her Hair,F. Scott Fitzgerald,Women and Femininity;!Youth;!Identity;!Competition;!Betrayal;!Jealousy
The Bet,Anton Pavlovich Chekhov,Wisdom and Knowledge;!Life, Consciousness, and Existence;!Sacrifice;!Isolation;!Competition
The Big Sleep,Raymond Chandler,Isolation;!Morality and Ethics;!Justice and Judgment;!Principles;!Men and Masculinity;!Wealth;!Violence;!Sexuality and Sexual Identity
Big Sur,Jack Kerouac,Drugs and Alcohol;!Madness;!Mortality;!Literature and Writing;!Transformation;!Man and the Natural World;!Isolation;!Spirituality
Big Two-Hearted River (Parts I and II),Ernest Hemingway,Suffering;!Man and the Natural World;!Rules and Order;!Change
Billy Budd,Herman Melville,Morality and Ethics;!Duty;!Sin;!Truth;!Wisdom and Knowledge;!Philosophical Viewpoints;!Foreignness and 'Other';!Loyalty;!Man and the Natural World;!Admiration
Bird by Bird,Anne Lamott,Literature and Writing;!Dreams, Hopes, and Plans;!Community;!Mortality/Immortality;!Identity;!Spirituality/Religion;!Dissatisfaction;!Perseverance
The Birthmark,Nathaniel Hawthorne,Science;!Mortality;!Man and the Natural World;!Foolishness and Folly;!Marriage
Black Beauty,Anna Sewell,Man and the Natural World;!Suffering;!Principles;!Religion;!Language and Communication;!Power;!Compassion and Love;!Courage
Black Boy,Richard Wright,Race;!Violence;!Society and Class;!Isolation;!Literature and Writing;!Religion;!Education;!Dreams, Hopes, and Plans
The Black Cat,Edgar Allan Poe,The Home;!Violence;!Drugs and Alcohol;!Freedom and Confinement;!Justice and Judgment;!Transformation
Black Like Me,John Howard Griffin,Identity;!Family;!Lust;!Religion;!Race;!Hypocrisy;!Community;!Contrasting Regions: White South vs. Black South
Bleak House,Charles Dickens,Identity;!Appearances;!Principles;!Duty;!Guilt and Blame;!Rules and Order;!Poverty;!Respect and Reputation;!Love;!Language and Communication
Bless Me, Ultima,Rudolfo Anaya,Revenge;!Fear;!Identity;!Men and Masculinity;!Fate and Free Will;!Memory and the Past;!The Supernatural;!Coming-of-Age
Blood Meridian,Cormac McCarthy,Madness;!Race;!Religion;!Alcohol and Drugs;!Violence;!Man and the Natural World;!Sex;!Family
The Bluest Eye,Toni Morrison,Appearances;!Race;!Women and Femininity;!Jealousy;!Society and Class;!Love;!Sex;!Innocence
The Body of Christopher Creed,Carol Plum-Ucci,Identity;!Lies and Deceit;!Society and Class;!Transformation;!Religion;!Truth;!Respect and Reputation
Bomb: The Race to Buildand Stealthe Worlds Most Dangerous Weapon,Steve Sheinkin,Principles;!Power;!Science and Discovery;!Fear;!Warfare;!Patriotism;!Competition;!Lies and Deceit
The Book Thief,Markus Zusak,Love;!Literature and Writing;!War;!Mortality;!Identity;!Criminality;!Language and Communication;!Suffering;!Courage
The Book of Laughter and Forgetting,Milan Kundera,Memory and the Past;!Transformation;!Life, Consciousness, and Existence;!Isolation;!Language and Communication;!Love;!Sex;!Women and Femininity;!Versions of Reality;!Politics
The Book of Margery Kempe,Margery Kempe,Isolation;!Suffering;!Spirituality;!Language and Communication;!Compassion and Forgiveness;!Memory and the Past;!Good versus Evil;!Freedom and Confinement;!Versions of Reality;!Love
The Book of the City of Ladies,Christine de Pizan,Love;!Loyalty;!Marriage;!Men and Masculinity;!Women and Femininity;!Religion;!Appearances;!Power
The Book of the Lion,Michael Cadnum,Warfare;!Principles;!Duty;!Coming of Age;!Foreignness and "The Other";!Religion;!Sin;!Justice and Judgment
A Border Passage,Leila Ahmed,Memory and the Past;!Foreignness and the Other;!Coming of Age;!Power;!Contrasting Regions;!Injustice;!Women and Femininity;!Identity;!Gender;!Religion
The Borrowers,Mary Norton,Prejudice;!Freedom;!Society and Class;!Youth;!Fear;!Coming of Age;!Awe and Amazement;!The Supernatural
The Boxcar Children,Gertrude Chandler Warner,Family;!Men and Masculinity;!Women and Femininity;!The Home;!Industriousness;!Resourcefulness;!Secrecy;!Morality and Ethics
Boy Meets Boy,David Levithan,Love;!Sexuality and Sexual Identity;!Friendship;!Family;!Gender;!Art and Culture;!Religion;!Happiness
Brave New World,Aldous Huxley,Science;!Sex;!Power;!Suffering;!Literature and Writing;!Freedom and Confinement;!Isolation;!Drugs and Alcohol;!Identity;!Spirituality;!Society and Class;!Dissatisfaction
The Breadwinner,Deborah Ellis,Education;!Freedom and Confinement;!Gender;!Suffering;!Warfare;!Courage;!Family;!Hope
A Break With Charity,Ann Rinaldi,Community;!Choices;!Women and Femininity;!Fear;!Family;!Compassion and Forgiveness;!Memory and the Past;!Lies and Deceit
Breakfast at Tiffany's,Truman Capote,Isolation;!Friendship;!Dreams, Hopes, and Plans;!Memory and the Past;!Transience;!Freedom and Confinement;!The Home;!Love
Breaking Stalin's Nose,Eugene Yelchin,Power;!Visions of the Soviet Union;!Coming of Age;!Admiration;!Justice;!Violence;!Community;!Foreignness and the Other
Breath, Eyes, Memory,Edwidge Danticat,Family;!Suffering;!Memory and the Past;!Sexuality;!Madness;!Women and Femininity;!Identity;!Contrasting Regions;!Love;!Transformation
Brideshead Revisited,Evelyn Waugh,Friendship;!Religion;!Family;!Memory and The Past;!Youth;!Art and Culture;!Drugs and Alcohol;!Society and Class;!Love
Bridge to Terabithia,Katherine Paterson,Friendship;!Family;!Courage;!Contrasting Regions: Lark Creek and Terabithia;!Innocence;!Transformation;!Society and Class;!Ambition
Brokeback Mountain,Annie Proulx,Sexuality and Sexual Identity;!Repression;!Memory and the Past;!Choices;!Men and Masculinity
Bronx Masquerade,Nikki Grimes,Appearances;!Coming of Age;!Dreams, Hopes, and Plans;!Family;!Friendship;!Literature and Writing;!Race;!Transformation
The Brothers Karamazov,Fyodor Dostoevsky,Wisdom and Knowledge;!Religion;!Fate and Free Will;!Judgment and Justice;!Suffering;!Guilt and Blame;!Isolation;!Family
Bud, Not Buddy,Christopher Paul Curtis,The Home;!Poverty;!Race;!Lies and Deceit;!Compassion and Forgiveness;!Wisdom and Knowledge;!Perseverance;!Fear
Bullyville,Francine Prose,Grief;!Isolation;!Weakness;!Mortality;!Class;!Family;!Change;!Masculinity
The Call of the Wild,Jack London,Primitivity;!Man and the Natural World;!Knowledge and Wisdom;!Perseverance;!Suffering;!Loyalty;!Respect and Reputation;!Pride;!Violence;!Fate and Free Will;!Defeat;!Competition;!Friendship
Candide,Voltaire,Love;!Religion;!Society and Class;!Philosophical Viewpoints;!Mortality;!Warfare;!Suffering;!Principles;!Sex;!Wealth
Cannery Row,John Steinbeck,Man and the Natural World;!Spirituality;!Wealth;!Home;!Happiness;!Visions of Monterey;!Writing;!Community
The Canterbury Tales: General Prologue & Frame Story,Geoffrey Chaucer,Literature and Writing;!Competition;!Society and Class;!Wealth;!Friendship;!Time;!Lies and Deceit;!Spirituality
The Canterbury Tales: The Miller's Tale,Geoffrey Chaucer,Cunning and Cleverness;!Sex;!Lies and Deceit;!Love;!Foolishness and Folly;!Madness;!Competition;!Religion
The Canterbury Tales: The Clerk's Tale,Geoffrey Chaucer,Power;!Passivity;!Virtue;!Loyalty;!Marriage;!Class;!Family;!Duty
The Canterbury Tales: The Knight's Tale,Geoffrey Chaucer,Rules and Order;!Love;!Friendship;!Death;!Suffering;!Competition;!Fate and Free Will;!Strength and Skill
The Canterbury Tales: the Man of Law's Tale,Chaucer, Geoffrey,Suffering;!Principles;!Fate and Free Will;!Religion;!Foreignness and the Other;!Good vs. Evil;!Women and Femininity;!Lies and Deceit
The Canterbury Tales: The Pardoner's Tale,Chaucer, Geoffrey,Manipulation;!Hypocrisy;!Mortality;!Wealth;!The Body;!Sin;!Language and Communication
The Canterbury Tales: The Reeve's Tale,Geoffrey Chaucer,Lies and Deceit;!Sex;!Violence;!Wealth;!Rules and Order;!Cunning and Cleverness;!Language and Communication;!Society and Class
The Canterbury Tales: The Second Nun's Tale,Geoffrey Chaucer,Principles;!Religion;!Truth;!Wisdom and Knowledge;!Justice and Judgment;!Mortality
The Canterbury Tales: The Wife of Bath's Prologue,Geoffrey Chaucer,Marriage;!Sex;!Women and Femininity;!Power;!Wealth;!Literature and Writing;!Old Age;!Love
The Canterbury Tales: The Wife of Bath's Tale,Geoffrey Chaucer,Women and Femininity;!Power;!Rules and Order;!Principles;!Appearances;!Old Age;!Poverty
A Canticle for Leibowitz,Walter M. Miller, Jr.,Time;!Mortality;!Religion;!Science;!Primitivity;!Power;!Technology and Modernization;!Memory and the Past
The Cask of Amontillado,Edgar Allan Poe,Freedom and Confinement;!Betrayal;!Drugs and Alcohol;!Mortality;!Foolishness and Folly
Cat in the Rain,Ernest Hemingway,Gender;!Foreignness and The Other;!Dissatisfaction;!Isolation
Cat on a Hot Tin Roof,Tennessee Williams,Truth;!Dreams, Hopes, and Plans;!Visions of America;!Mortality;!Sexuality and Sexual Identity;!Memory and the Past;!Drugs and Alcohol;!Wealth;!Gender;!Language and Communication
Cat's Cradle,Kurt Vonnegut,Art & Culture;!Philosophy—Humanism;!Truth;!Religion;!Science;!Fate and Free Will;!Life, Consciousness & Existence;!Love
Catch-22,Joseph Heller,Absurdity;!Hypocrisy;!Power;!Lies and Deceit;!Isolation;!Language and Communication;!Philosophical Viewpoints: Cynicism and Chance;!Fear;!Passivity;!Greed;!Mortality;!Sex
The Catcher in the Rye,J. D. Salinger,Innocence;!Mortality;!Youth;!Isolation;!Sexuality and Sexual Identity;!Sadness;!Wisdom and Knowledge;!Lies and Deceit;!Madness;!Religion
Cathedral,Raymond Carver,Versions of Reality;!Language and Communication;!Transformation;!Marriage;!Drugs and Alcohol;!Dissatisfaction
The Cay,Theodore Taylor,Race;!Friendship;!Violence;!Transformation;!Man and the Natural World;!Appearances;!Sacrifice;!Contrasting Regions: Virginia and Curaçao;!Family
The Celebrated Jumping Frog of Calaveras County,Mark Twain,Cunning and Cleverness;!Competition;!Lies and Deceit;!Contrasting Regions
Ceremony,Leslie Marmon Silko,Transformation;!Love;!Man (and Woman) and the Natural World;!Race;!Warfare;!Community/Tradition and Customs;!Suffering;!Versions of Reality;!Drugs and Alcohol (but mostly just alcohol)
Chains,Laurie Halse Anderson,Family;!Friendship;!Identity;!Warfare;!Slavery;!Courage;!Hypocrisy;!Memory and the Past;!Rules and Order;!Suffering
The Chairs,Eugene Ionesco,Philosophical Viewpoints: The Absurd;!Versions of Reality;!Language and Communication;!Art and Culture;!Dreams, Hopes, and Plans;!Isolation;!Time;!Mortality
Charlie and the Chocolate Factory,Roald Dahl,Awe and Amazement;!Foolishness and Folly;!Greed;!Family;!Poverty;!Appearances;!Madness;!Old Age;!Rules and Order
Charlotte's Web,E. B. White,Admiration;!Language and Communication;!Friendship;!Time;!The Home;!Perseverance;!Mortality;!Coming of Age
The Cherry Orchard,Anton Chekhov,Society and Class;!Memory and the Past;!Love;!Mortality;!Home;!Time;!Wealth;!Contrasting Regions
Childhood's End,Arthur C. Clarke,Science;!Life, Consciousness, and Existence;!Technology and Modernization;!Freedom and Confinement;!Morality and Ethics;!Power;!Transformation;!Manipulation;!Appearances
Chime,Franny Billingsley,Memories and The Past;!Technology and Modernization;!Lust;!Friendship and Love;!Guilt and Blame;!Jealousy;!Family;!Identity
The Chocolate War,Robert Cormier,Education;!Violence;!Language and Communication;!Manipulation;!Identity;!Power;!Choices;!Morality and Ethics
Chomp,Carl Hiaasen,Man vs. Nature;!Love;!Foolishness and Folly;!Pride;!Lies and Deceit;!Strength and Skill;!Poverty;!Drugs and Alcohol
The Chosen,Chaim Potok,Love;!Religion;!Education;!The Home;!Memory and the Past;!Visions of America;!Identity;!Warfare
A Christmas Carol,Charles Dickens,Compassion and Forgiveness;!Isolation;!Transformation;!Philosophical Viewpoints: Rationality;!Choices;!Time;!Family;!The Home;!Memory and the Past;!Guilt and Blame
Chronicle of a Death Foretold,Gabriel Garcia Marquez,Lies and Deceit;!Guilt and Blame;!Gender;!The Supernatural;!Fate and Free Will;!Community;!Respect and Reputation;!Love
The Chrysanthemums,John Steinbeck,Women and Femininity;!Dissatisfaction;!Isolation;!Transformation
The Circle,Dave Eggers,Justice and Judgment;!Freedom and Confinement;!Wisdom and Knowledge;!Morality and Ethics;!Greed;!Isolation;!Visions of America;!Women and Femininity
The Circuit,Francisco Jimnez,Family;!Disappointment;!Language and Communication;!Visions of California;!Perseverance;!Time;!Education;!Poverty
The City of Ember,Jeanne DuPrau,Friendship;!Greed;!Man and the Natural World;!Family;!Dreams, Hopes, and Plans;!Youth;!Memory and The Past;!Power
Clarissa,Samuel Richardson,Lust;!Manipulation;!Guilt and Blame;!Pride;!Principles;!Gender;!Revenge;!Society and Class;!Religion;!Freedom and Confinement
A Clean, Well-Lighted Place,Ernest Hemingway,Dissatisfaction;!Mortality;!Drugs and Alcohol;!Old Age
A Clockwork Orange,Anthony Burgess,Fate and Free Will;!Morality and Ethics;!Manipulation;!Good vs. Evil;!Power;!Transformation;!Violence;!Language and Communication
Cloud 9,Caryl Churchill,Family;!Power;!Sex;!Love;!Gender;!Race;!Sexuality & Sexual Identity;!Repression
The Clouds,Aristophanes,War and Violence;!Foolishness and Folly;!Education;!Change and Aging;!Philosophy;!Religion and Science;!Language and Communication;!Morality
Code Name Verity,Elizabeth Wein,Friendship;!Manipulation;!Warfare;!Fear;!Perseverance;!Betrayal;!Mortality (Death);!Society and Class;!Truth
Code Talker,Chester Nez with Judith Schiess Avila,Warfare;!Language and Communication;!Patriotism;!Identity;!Tradition and Customs;!Family;!Friendship;!Courage
Cold Mountain,Charles Frazier,Warfare;!Freedom;!Disappointment;!Spirituality;!Love;!Home;!Innocence (Loss of);!Man and the Natural World
The Color Purple,Alice Walker,Violence;!Religion;!Race;!Love;!Family;!Marriage;!Sex;!Sexuality and Sexual Identity;!Women and Femininity
The Comedy of Errors,William Shakespeare,Isolation;!Suffering;!Family;!Appearances;!Identity;!The Supernatural;!Women and Femininity;!Marriage;!Duty;!Rules and Order
Common Sense,Thomas Paine,Warfare;!Injustice;!Patriotism;!Passivity;!Race;!Society and Class;!Religion;!Freedom
